"","URAU_CODE","URAU_NAME","CAPITAL_CI","CITY_IN_KE","CityAREA","FUAarea","CityPOP2012","PBAcity","DIScity","w1DIScity","UPcity","w2UDcity","LUPcity","WUPcity","POPfua2009","CityAreainFUA","POPproportioninCITY2009","POPch20062012","chPROPORTION20062006","UMZtoCITYarea","UMZtoFUAarea","AVEwTEMP","AVEcTEMP","Rain","Agriculture2012f","ContUrb2012c","ContUrb2012f","DiscontUrb2012f","DiscontUrb2012c","Industrial2012c","Industrial2012f","wetlands2012f","Vegetation2012f","Vegetation2012c","GreenUrb2012c","BARE2012c","BARE2012f","Forest2012f","Soviet","Coastal","NoHH","NoDwell2011","DWELLper100HH","CarsPer100pop","POLY","cluster"
"1","DE060C1","Celle",0,0,176.407061398136,1550.12476448857,71.207,10.3285173051,46.2931554589,1.16266349479,478.139657264,0.913265261177,339.713792183,507.698337052,177.585,11.3801847076701,40.5484697468818,-3.34328763404371,0.0125392967882405,19.3076171271452,6.77429342499704,19.8,-1.35,62.72,35.31742593541,0,0,5.85401641345232,15.3766155060427,2.96231977959618,0.947826418968992,0.582455852502186,4.31841266183077,2.87751225277974,1.42593138614417,0,0.0170574691700601,58.9280219330426,0,0,34.7,35.983,103.697406340058,44.84,71.2,8
"2","DE008C1","Leipzig",0,0,298.745734867862,3978.75448177947,523.708,29.4628379041,48.2443841928,1.27724628526,1421.41647126,0.79099530016,216.800201639,1436.05110346,983.833,7.50852399251964,53.2156372067211,0.0544492695200631,1.2003572716727,73.6679973347045,11.496311272653,19.95555556,-0.766666667,57.59222222,27.3823232747055,0.270552450165551,0.0203144956330301,8.39904096053182,35.7064182861504,10.1084815489357,1.94387262531999,0.108647525938009,1.97434566418931,2.24266129416506,12.9821605471477,0.295488801535718,0.0594655893467393,26.3481130699108,1,0,306.4,328.662,107.265665796345,33.26,71.2,4
"3","DE537C1","Reutlingen",0,0,86.1475739223772,1092.28754767713,118.24,20.8743683295,47.2648705754,1.22338008495,986.624317439,0.699655736925,185.047361299,844.496047672,262.354,7.886895177518,45.440511675065,-2.08597288814912,0.380174503337265,41.7423246676703,8.01254213564193,19.74285714,-0.585714286,75.97857143,43.3878364675532,0.753401859389064,0.059420014915487,6.85010353218076,25.3545151123846,8.33378974812246,1.21697910325159,0,3.85224541119985,0.38561375419525,0.878240098881255,0,0,24.2351210273431,0,0,56.5,52.26,92.4955752212389,45.43,71.2,4
"4","DE043C1","Rostock",0,0,169.085382473035,3598.04394027067,207.384,21.3699817292,47.9671350346,1.2627940826,1025.05679929,0.8319587492,239.55560699,1076.917073,414.72,4.69936958191553,49.9428530092593,0.227147510559943,1.14053971441795,47.9107057127893,6.03800297068237,19.22857143,0.328571429,67.23142857,57.8961621956079,0.459778717609757,0.0440115017614479,3.37881954937721,22.8180682892892,10.8098634048179,1.04804188663031,0.548237997912468,0.537126039443087,2.25296628078279,8.00010666620338,0.236312377395056,0.0223241720330334,15.7367320363215,1,1,117.9,118.445,100.462256149279,34.67,71.2,7
"5","DE530C1","Remscheid",0,0,74.0692684699272,74.0692684699272,108.227,20.5528183914,47.2075240847,1.21998873495,970.247669222,0.68314550955,180.823639203,808.63334612,105.924,100,103.572372644538,-3.33163625320435,-0.628924787589199,412.748777347687,412.748777347687,18.57142857,0.671428571,108.5957143,8.90595708398047,0,0,7.3819010809731,8.08934596698932,7.44725755903578,7.44725755903578,0,2.24607642544126,2.24607642544126,0.859276701725182,0,0,13.3077861824058,0,0,54.6,58.637,107.393772893773,44.94,71.2,1
"6","DE022C1","Mülheim a.d.Ruhr",0,0,91.2451717292729,4440.05861849355,184.649,27.7900462212,48.6370947491,1.29662250386,1351.62711114,0.668890718194,177.417695195,1172.26451454,5148.041,42.550431440375,3.61898827146093,-2.24677462902278,0.0388520355005499,1185.15860018166,45.3097621644141,19.81111111,1.766666667,78.34,38.0412160577817,0,0.0717529138146876,22.7290556063584,21.187313543956,1.5252883753989,6.65354112812767,0,1.5840769844355,0.525126062036081,7.19935648818849,0,0.033217026340751,19.1984863035855,0,0,83.5,89.155,106.77245508982,45.95,71.2,4
"7","DE525C1","Recklinghausen",0,0,66.5236998318807,4440.05861849355,133.274,28.9098030567,48.5005679054,1.29003214875,1402.14186629,0.707630770691,187.208307697,1279.96825895,5148.041,42.550431440375,2.65011486893752,-5.58857490985598,-0.0253827486389615,1640.40785878994,45.3097621644141,18.91428571,1.014285714,81.28857143,38.0412160577817,0,0.0717529138146876,22.7290556063584,69.7626342388274,14.8324266585244,6.65354112812767,0,1.5840769844355,2.71944177086055,5.04482103089924,0,0.033217026340751,19.1984863035855,0,0,57.7,61.651,106.847487001733,46.55,71.2,4
"8","DE015C1","Bochum",0,0,144.625421049977,4440.05861849355,436.296,35.269091792,48.835203931,1.30590947742,1722.37329012,0.526146312442,151.227606946,1183.44175054,5148.041,42.550431440375,8.67967057760418,-5.71384115348709,-0.090680474490723,747.005603964098,45.3097621644141,18.98888889,1.688888889,84.49111111,38.0412160577817,0,0.0717529138146876,22.7290556063584,105.660027313453,13.3026305068452,6.65354112812767,0,1.5840769844355,2.12195812110303,9.61144396357236,0,0.033217026340751,19.1984863035855,0,0,197.5,196.92,99.7063291139241,41.42,71.2,4
"9","DE030C1","Weimar",0,0,84.4152092191783,888.795417455954,67.24,12.1616103485,46.8028470334,1.19535087246,569.197988819,0.735268011326,195.419393218,500.269967292,150.779,9.49770977226732,44.8815816526174,-1.63838502047981,1.04673821020995,30.5869051783786,7.74756469797084,19.01111111,-1.622222222,56.09666667,742.110774148581,0,0,5.72108081576263,17.5206403715685,5.09489389842556,1.00620321286081,0,0.382369539975527,3.38560467264785,6.54759629037876,0,0,29.1781568166841,1,0,35.6,34.491,96.8848314606742,37.09,71.2,7
"10","DE071C1","Stralsund",0,0,39.3876819211936,3152.29828921956,57.749,28.7038132085,47.3120126088,1.22614888692,1358.03517244,0.868675435891,270.134547784,1446.47778181,229.166,1.24949095255021,25.5736016686594,-3.73241314929653,0.636269249877831,61.4151400135684,4.79713485608745,19.35,-2.35,77.145,38.1321837538969,2.33457480955556,0.0433287822751785,3.13090756112988,27.7658203090775,12.9625162846975,0.65872819031796,1.56997230870235,0.992775262982746,5.50685707765331,11.7698684142573,0,0.0780534115922798,16.9306195258122,1,1,33.2,33.535,101.009036144578,38.1,71.2,7
